,fees_R_X,fees_R_Y
354,0E-54,0E-46
355,0E-54,0E-46
356,0E-54,0E-46
357,0.000013209552609150963316536295925537992797321169706213,5515.4823298302200521337261041838290860933526569460
358,-0.000013209552609150963316536295925537992797321169706213,-5515.4823298302200521337261041838290860933526569460
359,0E-54,0E-46
360,0E-54,0E-46
361,0E-54,0E-46
362,0E-54,0E-46
363,0E-54,0E-46
364,0E-54,0E-46
365,0E-54,0E-46
366,0E-54,0E-46
367,0.000010104460004122095060084963439491814037848851053814,3401.5019742067814994559476129751564042735528427661
368,-0.000010104460004122095060084963439491814037848851053814,-3401.5019742067814994559476129751564042735528427661
369,0E-54,0E-46
370,0E-54,0E-46
371,0E-54,0E-46
372,0E-54,0E-46
373,0E-54,0E-46
374,0E-54,0E-46
375,0E-54,0E-46
376,0E-54,0E-46
377,0.000010111721510030720541697711847444881232940788028097,3405.1711254421443216633016665412746309525917316668
378,-0.000010111721510030720541697711847444881232940788028097,-3405.1711254421443216633016665412746309525917316668
379,0E-54,0E-46
380,0E-54,0E-46
381,0E-54,0E-46
382,0E-54,0E-46
383,0E-54,0E-46
384,0E-54,0E-46
385,0E-54,0E-46
386,0E-54,0E-46
387,0.000010213436935492476659684019805176664996108117397182,3459.3637812913440119138743741177358887370282230668
388,-0.000010213436935492476659684019805176664996108117397182,-3459.3637812913440119138743741177358887370282230668
389,0E-54,0E-46
390,0E-54,0E-46
391,0E-54,0E-46
392,0E-54,0E-46
393,0E-54,0E-46
394,0E-54,0E-46
395,0E-54,0E-46
396,0E-54,0E-46
397,0.000003346388371410584523973561614138811274873903282973,2265.7094576502242028166527560674497465944446314794
398,-0.000003346388371410584523973561614138811274873903282973,-2265.7094576502242028166527560674497465944446314794
399,0E-54,0E-46
400,0E-54,0E-46
401,0E-54,0E-46
402,0E-54,0E-46
403,0E-54,0E-46
404,0E-54,0E-46
405,0E-54,0E-46
406,0E-54,0E-46
407,0.000010134173521350577403071313883678379688076840646606,3416.6489300045441556734927685254276711977551257797
408,-0.000010134173521350577403071313883678379688076840646606,-3416.6489300045441556734927685254276711977551257797
409,0E-54,0E-46
410,0.000013684496060413198798707264082880924805052639506781,5791.6499933119786002710543229981619943952367152700
411,0E-54,0E-46
412,0E-54,0E-46
413,0E-54,0E-46
414,0E-54,0E-46
415,0E-54,0E-46
416,0E-54,0E-46
417,-0.0000033355785968793194778921889156509837064948302366604,-2260.2343508030871886204333821853825424749714975015
418,0.000003335578596879319477892188915650983706494830236660,2260.2343508030871886204333821853825424749714975015
419,0E-54,0E-46
420,0E-54,0E-46
421,0E-54,0E-46
422,0E-54,0E-46
423,0E-54,0E-46
424,0E-54,0E-46
425,0E-54,0E-46
426,0E-54,0E-46
427,-0.000010149330346940691807888278780506902123753959246409,-3424.2321948098369342994206035474789784259371830911
428,0.000010149330346940691807888278780506902123753959246409,3424.2321948098369342994206035474789784259371830911
